"Algorithm","x","y","NumLoss.G","NumLoss.SO","VisLoss.G","VisLoss.SO","TotalLoss.G","TotalLoss.SO","TotalLoss.LogFreq"
"Random",1,1,0,0,0,0,0,0,0
"Random",2,1,0.00122931639619649,0,0.000355310617017272,0,0.00158462701321376,0,-0.114412773520198
"Random",3,1,0.00168310967390472,0,0.000418328539467445,0,0.00210143821337216,0,0.101835000709034
"Random",4,1,0.00354363252545796,0,0.00111472162568053,0,0.00465835415113849,0,0.105818669575177
"Random",5,1,0.00484146825913213,0,0.00136662949087921,0,0.00620809775001134,0,0.162475850308341
"Random",6,1,0.00726840338426524,0,0.00263672295112488,0,0.00990512633539012,0,0.175876519563757
"Random",7,1,0.0092472931629276,0,0.00308472214160866,0,0.0123320153045363,0,0.202977271949089
"Random",8,1,0.0119657930385334,0,0.00474274909600471,0,0.0167085421345381,0,0.217875191483114
"Random",9,1,0.014839789901815,0,0.00573391120854058,0,0.0205737011103556,0,0.23300302614342
"Random",10,1,0.0175634261462327,0,0.00854968449461465,0,0.0261131106408473,0,0.249584078094504
"Random",15,1,0.0345042613792828,0,0.0201235488128053,0,0.0546278101920881,0,0.303476390420856
"Random",20,1,0.0549033801130523,0,0.0433946314916194,0,0.0982980116046717,0,0.341032245622847
"Random",1,2,0,0.000173600991531833,0,2.91854707469032e-05,0,0.000202786462278736,-0.117834526467633
"Random",2,2,0.00128694228484919,0.000181475821705911,0.000297684728364569,2.13106405728253e-05,0.00158462701321376,0.000202786462278736,-0.190606817571436
"Random",3,2,0.0017572108754412,0.000184086491480042,0.000344227337930961,1.86999707986947e-05,0.00210143821337216,0.000202786462278736,0.0771872567402322
"Random",4,2,0.00367005383131093,0.000186057834802143,0.000988300319827554,1.67286274765929e-05,0.00465835415113849,0.000202786462278736,0.0918234849673803
"Random",5,2,0.00500162059489503,0.000186769334072085,0.00120647715511631,1.60171282066514e-05,0.00620809775001134,0.000202786462278736,0.159379995839022
"Random",6,2,0.00747758367419646,0.000187829650103145,0.00242754266119366,1.49568121755911e-05,0.00990512633539012,0.000202786462278736,0.176908361533051
"Random",7,2,0.00950602350920428,0.000188597375353332,0.00282599179533199,1.4189086925404e-05,0.0123320153045363,0.000202786462278736,0.209200301605376
"Random",8,2,0.012259431820396,0.000189292772525184,0.00444911031414209,1.34936897535521e-05,0.0167085421345381,0.000202786462278736,0.225946093585729
"Random",9,2,0.0151817751245275,0.000189667093041967,0.00539192598582809,1.31193692367692e-05,0.0205737011103556,0.000202786462278736,0.243487020912784
"Random",10,2,0.0179514896856701,0.00018997669971519,0.00816162095517725,1.28097625635465e-05,0.0261131106408473,0.000202786462278736,0.261052353542527
"Random",15,2,0.0350302860072861,0.000190907919462998,0.0195975241848019,1.18785428157379e-05,0.0546278101920881,0.000202786462278736,0.322199554678568
"Random",20,2,0.055591406453712,0.000191904080638738,0.0427066051509597,1.08823816399986e-05,0.0982980116046717,0.000202786462278736,0.36075848796531
"Random",1,3,0,0.000234703327961852,0,3.58316313864442e-05,0,0.000270534959348297,0.0978374633882578
"Random",2,3,0.00130528080798153,0.000245076415214279,0.000279346205232233,2.54585441340176e-05,0.00158462701321376,0.000270534959348297,0.0739671984185402
"Random",3,3,0.00178308048588469,0.000248524122780348,0.000318357727487477,2.20108365679485e-05,0.00210143821337216,0.000270534959348297,0.212240011522177
"Random",4,3,0.00370092779860783,0.000250644323377106,0.000957426352530655,1.98906359711909e-05,0.00465835415113849,0.000270534959348297,0.225970854622342
"Random",5,3,0.00504704719414962,0.000252125442469706,0.00116105055586172,1.84095168785911e-05,0.00620809775001134,0.000270534959348297,0.262127787848585
"Random",6,3,0.00753894417321135,0.000253283561975416,0.00236618216217877,1.72513973728806e-05,0.00990512633539012,0.000270534959348297,0.273919853905211
"Random",7,3,0.00957010299828492,0.00025410985818915,0.00276191230625134,1.64251011591461e-05,0.0123320153045363,0.000270534959348297,0.294025884299531
"Random",8,3,0.0123337847458542,0.00025478447015891,0.00437475738868392,1.57504891893864e-05,0.0167085421345381,0.000270534959348297,0.30476369992635
"Random",9,3,0.0152610327576344,0.000255052625367064,0.00531266835272115,1.54823339812324e-05,0.0205737011103556,0.000270534959348297,0.314362565584452
"Random",10,3,0.0180615785473942,0.000255852349816931,0.00805153209345312,1.46826095313658e-05,0.0261131106408473,0.000270534959348297,0.326277369766683
"Random",15,3,0.0352241720834118,0.000257585389977606,0.0194036381086762,1.29495693706907e-05,0.0546278101920881,0.000270534959348297,0.370131322779912
"Random",20,3,0.0557857864148484,0.0002585330473654,0.0425122251898233,1.20019119828961e-05,0.0982980116046717,0.000270534959348297,0.398009887241596
"Random",1,4,0,0.000511983491223125,0,9.54161078504722e-05,0,0.000607399599073597,0.100561060213841
"Random",2,4,0.00131823746276093,0.00052968894534349,0.000266389550452834,7.77106537301076e-05,0.00158462701321376,0.000607399599073597,0.0885760225453824
"Random",3,4,0.00180189907213059,0.000535761619823752,0.000299539141241571,7.16379792498449e-05,0.00210143821337216,0.000607399599073597,0.224893195256224
"Random",4,4,0.00373385948541266,0.000540216887995699,0.000924494665725827,6.71827110778979e-05,0.00465835415113849,0.000607399599073597,0.240547960148825
"Random",5,4,0.005078792118914,0.000541915528826868,0.00112930563109734,6.54840702467294e-05,0.00620809775001134,0.000607399599073597,0.276952677686534
"Random",6,4,0.00758967027161573,0.000544665219787387,0.0023154560637744,6.27343792862102e-05,0.00990512633539012,0.000607399599073597,0.287115465145852
"Random",7,4,0.00964118383070551,0.000545922042724782,0.00269083147383075,6.14775563488157e-05,0.0123320153045363,0.000607399599073597,0.307316437623266
"Random",8,4,0.012416751993065,0.000548142694166452,0.00429179014147313,5.92569049071457e-05,0.0167085421345381,0.000607399599073597,0.318592912806714
"Random",9,4,0.0153585400256682,0.000548910958989785,0.00521516108468738,5.84886400838118e-05,0.0205737011103556,0.000607399599073597,0.32897393224967
"Random",10,4,0.0181496806367123,0.00055017176787853,0.00796343000413501,5.72278311950671e-05,0.0261131106408473,0.000607399599073597,0.340674739220469
